順位	ユーザー名		スコア	
1	square1001	90955	
2	trineutron	89808	
3	highjump		89777	
4	butsurizuki	89325	tester
5	どらら		89238	
6	takumi152	88008	
7	Nachia		86375	
8	ks2m		85254	
9	terry_u16	83107	
10	Haa		82298	
11	g4np0n		79156	
12	platinum		78002	writer
13	t33f		77712	
14	merom686		77432	
15	bowwowforeach	76326	
16	tails		75598	
17	mtsd		74857	
18	Yu_212		74331	
19	iiljj		72432	
20	EvbCFfp1XB	69729	
21	mai		67965	
22	wanui		67660	
23	takytank		67504	
24	hamamu		67198	
25	netyo715		66939	
26	Risen		56402	
27	komori3		49859	
28	kyo1		41866	
29	brthyyjp		36950	
30	FplusFplusF	20578	
31	plcherrim	16973	
32	a9ua1i0n		13073	
33	Titan		5231	
34	inani_waon	3968	
35	hiikunZ		1264	
36	uwi		0	
37	ntk-ta01		0	
38	akakimidori	0	
39	kys		0	
40	sca1l		0	
41	shamio		0	
